Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1789454084,195796191,26,0,0,0,0.00,4.08
1789454085,193886260,31,0,0,0,0.00,10.10
1789454086,193878304,35,0,0,0,0.00,7.92
1789454087,193883348,27,0,0,0,0.00,3.16
1789454088,193882392,33,0,0,0,0.00,6.19
1789454089,193919436,32,0,0,0,0.00,8.91
1789454090,193891481,27,1,1,0,0.00,8.00
1789454091,193934524,22,0,0,0,0.00,7.00
1789454092,193880569,15,0,0,0,0.00,5.05
1789454093,195528592,31,0,0,0,0.00,8.91
1789454094,193937656,29,0,0,0,0.00,7.07
1789454095,195084685,28,0,1,0,0.00,9.90
1789454096,193882745,28,0,1,0,0.00,7.07
1789454097,193944788,27,1,1,0,0.00,6.12
1789454098,195239815,29,0,0,0,0.00,6.12
1789454099,193888877,40,0,0,0,0.00,6.32
1789454100,193889920,23,1,1,0,0.00,5.10
1789454101,193938964,20,0,0,0,0.00,4.12
1789454102,193896008,33,0,0,0,0.00,6.12
1789454103,193902052,18,0,0,0,0.00,5.05
1789454104,193899095,36,0,0,0,0.00,11.00
1789454105,193925139,35,0,0,0,0.00,8.08
1789454106,193680186,38,0,0,0,0.00,14.89
1789454107,194518219,55,0,1,0,0.00,9.28
1789454108,193884270,33,0,0,0,0.00,7.07
1789454109,196376282,20,0,0,0,0.00,6.00
1789454110,193797359,43,0,0,0,0.00,11.00
1789454111,193877401,28,0,0,0,0.00,8.91
1789454112,193907444,15,0,0,0,0.00,2.08
1789454113,193620492,52,0,0,0,0.00,11.00
1789454114,193914531,35,0,0,0,0.00,9.90
1789454115,193886575,39,0,0,0,0.00,7.29
1789454116,193888619,30,0,0,0,0.00,8.33
1789454117,193975661,20,0,0,0,0.00,6.06
1789454118,194685695,38,0,0,0,0.00,12.75
1789454119,193887749,28,0,0,0,0.00,5.21
1789454120,193875792,32,0,0,0,0.00,10.68
1789454121,193941835,18,0,0,0,0.00,8.16
1789454122,193790880,27,0,0,0,0.00,4.12
1789454123,193874922,26,1,1,0,0.00,7.92
1789454124,193958964,25,0,0,0,0.00,4.17
1789454125,193884009,34,0,0,0,0.00,9.18
1789454126,193894052,45,0,0,0,0.00,12.00
1789454127,193892095,20,2,2,0,0.00,6.06
1789454128,193885138,28,1,2,0,0.00,11.00
1789454129,193892181,25,0,0,0,0.00,6.12
1789454130,193896224,15,0,1,0,0.00,6.86
1789454131,193903267,28,0,0,0,0.00,10.00
1789454132,193891310,37,1,1,0,0.00,5.32
1789454133,193933353,21,0,0,0,0.00,5.10
1789454134,193899396,28,0,0,0,0.00,7.14
1789454135,193935439,19,0,0,0,0.00,5.05
1789454136,193911482,36,0,0,0,0.00,7.14
1789454137,193889525,32,0,0,0,0.00,10.00
1789454138,193884568,28,1,1,0,0.00,5.10
1789454139,193874611,35,0,0,0,0.00,9.09
1789454140,193793655,29,1,1,0,0.00,5.00
1789454141,193948696,31,0,0,0,0.00,6.19
1789454142,193899739,27,0,0,0,0.00,4.12
1789454143,193872782,35,0,0,0,0.00,7.29
1789454144,193815826,24,1,1,0,0.00,4.17
1789454145,193885868,20,1,1,0,0.00,5.10
1789454146,193870911,24,1,1,0,0.00,7.92
1789454147,193907953,12,0,0,0,0.00,6.12
1789454148,193890996,35,0,0,0,0.00,5.15
1789454149,193876038,28,0,0,0,0.00,7.00
1789454150,193884081,22,1,2,0,0.00,4.17
1789454151,193900123,35,1,1,0,0.00,5.05
1789454152,193959165,20,0,0,0,0.00,5.10
1789454153,193903208,39,1,1,0,0.00,9.18
1789454154,193803252,28,0,0,0,0.00,5.15
1789454155,196388261,31,0,1,0,0.00,11.76
1789454156,193893336,25,0,0,0,0.00,8.00
1789454157,193891378,26,0,0,0,0.00,6.06
1789454158,193905421,33,0,0,0,0.00,8.25
1789454159,193890463,28,0,0,0,0.00,5.15
1789454160,193972505,26,0,0,0,0.00,3.16
1789454161,193895548,32,0,0,0,0.00,7.22
1789454162,193876590,20,1,1,0,0.00,6.06
1789454163,193893633,25,0,0,0,0.00,7.92
1789454164,193898675,21,0,0,0,0.00,4.08
1789454165,193889717,26,0,0,0,0.00,6.12
1789454166,193715762,34,0,0,0,0.00,18.81
1789454167,193936801,47,0,0,0,0.00,8.42
1789454168,193888844,28,0,0,0,0.00,8.91
1789454169,193881886,27,0,0,0,0.00,8.91
1789454170,193886928,26,0,0,0,0.00,7.07
1789454171,193876970,33,1,1,0,0.00,7.22
1789454172,193821013,37,0,0,0,0.00,9.18
1789454173,193895054,34,0,0,0,0.00,11.76
1789454174,193881097,30,0,1,0,0.00,4.21
1789454175,193951138,24,0,0,0,0.00,4.04
1789454176,193896180,19,0,0,0,0.00,5.05
1789454177,193945222,20,0,0,0,0.00,9.00
1789454178,193927264,21,0,0,0,0.00,3.06
1789454179,193933306,6,0,0,0,0.00,2.02
1789454180,193809349,62,1,2,0,0.00,15.53
1789454181,193887390,35,0,0,0,0.00,7.07
1789454182,193899432,15,0,0,0,0.00,4.00
1789454183,193911474,20,0,0,0,0.00,3.16
1789454184,193881516,40,0,0,0,0.00,11.11
1789454185,193883558,29,0,0,0,0.00,9.09
1789454186,193882599,34,0,0,0,0.00,5.26
1789454187,193897641,22,0,0,0,0.00,6.06
1789454188,193881683,31,0,0,0,0.00,7.07
1789454189,193910724,14,0,0,0,0.00,1.04
1789454190,193893766,39,0,0,0,0.00,6.12
1789454191,193958807,11,1,1,0,0.00,5.00
1789454192,193884850,47,0,0,0,0.00,9.90
1789454193,193889891,27,0,0,0,0.00,7.00
1789454194,193889933,34,1,1,0,0.00,11.76
1789454195,193887974,27,0,0,0,0.00,2.15
1789454196,193907016,30,0,0,0,0.00,8.08
1789454197,193876058,30,1,1,0,0.00,6.25
1789454198,193876099,25,0,0,0,0.00,7.92
1789454199,193890140,28,0,0,0,0.00,9.80
1789454200,193879182,30,0,0,0,0.00,9.80
1789454201,193916223,28,0,0,0,0.00,7.07
1789454202,193897265,23,0,0,0,0.00,7.00
1789454203,193879306,30,0,0,0,0.00,6.06
1789454204,193883348,21,0,0,0,0.00,7.00
1789454205,193888389,34,0,0,0,0.00,12.62
1789454206,193887430,28,2,2,0,0.00,10.00
1789454207,193850472,29,0,0,0,0.00,10.00
1789454208,193880513,26,0,0,0,0.00,11.76
1789454209,193908554,34,0,0,0,0.00,10.00
1789454210,193872596,33,0,0,0,0.00,5.26
1789454211,193882637,34,2,2,0,0.00,8.16
1789454212,193882678,25,0,0,0,0.00,4.17
1789454213,193882719,15,0,0,0,0.00,4.04
1789454214,193883760,28,0,0,0,0.00,7.92
1789454215,193941801,29,0,0,0,0.00,3.19
1789454216,193940842,27,0,0,0,0.00,7.92
1789454217,193915883,32,0,0,0,0.00,5.21
1789454218,193889925,31,0,0,0,0.00,8.08
1789454219,193933965,33,0,0,0,0.00,10.89
1789454220,193922006,33,0,0,0,0.00,9.00
1789454221,194131045,39,0,0,0,0.00,9.28
1789454222,193935088,12,0,0,0,0.00,4.00
1789454223,193933129,11,0,0,0,0.00,2.02
1789454224,193892171,33,0,0,0,0.00,6.06
1789454225,193917211,26,0,0,0,0.00,7.07
1789454226,193666256,44,0,2,0,0.00,20.41
1789454227,193893294,29,0,3,0,0.00,7.07
1789454228,193897334,27,1,1,0,0.00,7.00
1789454229,193874376,26,0,0,0,0.00,6.06
1789454230,193883416,26,0,0,0,0.00,7.07
1789454231,193881457,23,1,1,0,0.00,5.10
1789454232,193909498,25,0,0,0,0.00,5.15
1789454233,193907538,27,0,0,0,0.00,9.80
1789454234,193901579,20,0,0,0,0.00,4.04
1789454235,193886620,17,0,0,0,0.00,6.00
1789454236,193887661,29,0,0,0,0.00,6.19
1789454237,193905701,26,0,0,0,0.00,6.06
1789454238,193877742,26,0,1,0,0.00,4.17
1789454239,193881783,24,1,1,0,0.00,10.00
1789454240,193924823,28,0,0,0,0.00,5.15
1789454241,193904864,16,0,0,0,0.00,6.00
1789454242,193787906,32,0,0,0,0.00,4.08
1789454243,193879945,31,0,0,0,0.00,7.14
1789454244,193890986,25,0,0,0,0.00,3.12
1789454245,194945013,33,0,0,0,0.00,7.22
1789454246,193891067,24,0,0,0,0.00,6.06
1789454247,193890107,38,0,0,0,0.00,9.00
1789454248,193910148,19,1,1,0,0.00,7.00
1789454249,194747177,29,2,2,0,0.00,12.50
1789454250,193888229,18,1,1,0,0.00,6.86
1789454251,193874270,29,0,0,0,0.00,8.08
1789454252,193887310,28,0,0,0,0.00,10.78
1789454253,193882350,22,0,0,0,0.00,5.05
1789454254,193879391,27,1,1,0,0.00,6.12
1789454255,193885431,24,0,0,0,0.00,4.12
1789454256,193933471,27,1,1,0,0.00,5.21
1789454257,193809512,28,0,1,0,0.00,6.93
1789454258,193927551,16,0,0,0,0.00,3.06
1789454259,193877592,27,2,1,0,0.00,7.92
1789454260,193881632,28,1,1,0,0.00,6.12
1789454261,193883673,31,0,1,0,0.00,12.62
1789454262,193891713,37,1,2,0,0.00,10.00
1789454263,193937752,15,1,1,0,0.00,3.03
1789454264,195284775,35,1,1,0,0.00,7.29
1789454265,193886833,34,0,0,0,0.00,12.62
1789454266,193885873,31,1,1,0,0.00,7.92
1789454267,193941913,19,0,0,0,0.00,3.06
1789454268,193880954,34,0,0,0,0.00,7.92
1789454269,193902994,23,0,0,0,0.00,6.19
1789454270,193885034,21,1,1,0,0.00,9.90
1789454271,193896074,28,1,1,0,0.00,4.26
1789454272,193918113,21,1,1,0,0.00,8.74
1789454273,193881154,27,0,0,0,0.00,9.00
1789454274,193928193,14,1,0,0,0.00,4.95
1789454275,193888234,38,1,0,0,0.00,10.89
1789454276,193890274,32,1,1,0,0.00,7.14
1789454277,195810289,22,0,0,0,0.00,5.00
1789454278,193888354,26,0,0,0,0.00,7.07
1789454279,193924393,13,0,1,0,0.00,4.00
1789454280,193886433,45,0,1,0,0.00,10.89
1789454281,193887473,34,0,1,0,0.00,8.25
1789454282,193897513,18,0,1,0,0.00,3.06
1789454283,193915553,20,0,0,0,0.00,4.17
1789454284,193895593,32,0,0,0,0.00,6.12
1789454285,193888632,23,2,2,0,0.00,4.08
1789454286,193690675,58,2,2,0,0.00,24.74
1789454287,193909712,25,0,0,0,0.00,5.10
1789454288,193890752,34,1,1,0,0.00,6.25
1789454289,193882791,23,0,0,0,0.00,6.00
1789454290,193893831,43,0,0,0,0.00,13.00
1789454291,193801872,26,2,2,0,0.00,9.09
1789454292,198726848,26,0,0,0,0.00,6.06
1789454293,193878950,26,0,0,0,0.00,10.00
1789454294,193901990,28,1,1,0,0.00,4.17
1789454295,193917029,33,0,0,0,0.00,6.06
1789454296,193885069,27,0,0,0,0.00,8.91
1789454297,196285077,28,0,0,0,0.00,5.15
1789454298,193884148,22,4,3,0,0.00,11.54
1789454299,193794189,27,1,1,0,0.00,3.19
1789454300,193883227,33,0,0,0,0.00,10.00
1789454301,193900266,34,2,2,0,0.00,13.00
1789454302,193880306,25,0,0,0,0.00,8.00
1789454303,193911345,31,0,0,0,0.00,7.14
1789454304,193888385,19,2,2,0,0.00,8.82
1789454305,193883424,28,0,0,0,0.00,9.00
1789454306,193890464,26,0,0,0,0.00,3.12
1789454307,193886503,15,0,1,0,0.00,2.04
1789454308,193894542,24,1,1,0,0.00,6.19
1789454309,193887582,29,0,1,0,0.00,5.15
1789454310,193915621,22,0,0,0,0.00,7.00
1789454311,193922660,29,4,4,0,0.00,7.22
1789454312,193874700,27,0,0,0,0.00,5.15
1789454313,193882739,29,0,0,0,0.00,4.21
1789454314,193890778,22,0,0,0,0.00,8.74
1789454315,193883818,24,0,0,0,0.00,4.17
1789454316,193878857,31,0,0,0,0.00,8.08
1789454317,193937895,14,0,0,0,0.00,5.94
1789454318,193961934,18,1,1,0,0.00,5.00
1789454319,193885975,26,1,1,0,0.00,6.12
1789454320,193882014,30,0,0,0,0.00,6.19
1789454321,193838053,20,1,1,0,0.00,9.71
1789454322,193893092,42,0,1,0,0.00,6.25
1789454323,193897131,20,0,0,0,0.00,7.00
1789454324,193898170,24,1,2,0,0.00,7.00
1789454325,193896209,25,1,1,0,0.00,8.00
1789454326,193959247,16,3,3,0,0.00,6.00
1789454327,193889287,24,0,0,0,0.00,4.12
1789454328,193904326,19,1,1,0,0.00,6.93
1789454329,193913365,30,0,0,0,0.00,5.10
1789454330,193883404,29,0,0,0,0.00,6.12
1789454331,193934443,15,1,1,0,0.00,6.00
1789454332,193888482,30,0,1,0,0.00,8.16
1789454333,193883521,29,0,0,0,0.00,7.14
1789454334,193880560,29,1,1,0,0.00,10.89
1789454335,193911599,20,0,0,0,0.00,6.12
1789454336,193897638,52,0,0,0,0.00,7.29
1789454337,193929676,30,3,3,0,0.00,9.00
1789454338,193814717,47,0,0,0,0.00,11.22
1789454339,193799756,43,0,0,0,0.00,7.14
1789454340,193924793,39,0,1,0,0.00,10.10
1789454341,194295827,49,1,1,0,0.00,14.14
1789454342,193900871,38,0,0,0,0.00,11.76
1789454343,193812911,22,0,0,0,0.00,6.12
1789454344,193693951,38,1,1,0,0.00,6.38
